診断ID,能力ID,診断課題案,観察・提出物,初期時間分,実施条件,開発期,状態,問題版,参照
D-A1,A1,架空の依頼文から要件表を作る,目的・期限・対象・禁止・不明点の5欄メモ,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-A2,A2,曖昧な報告を200字以内に書き直す,読み手が行動できる報告文,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-A3,A3,架空の費用表から誤集計を見つける,単位・期間・概算・明細照合の記録,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-A4,A4,新旧資料とAI要約から採用可能な根拠を選ぶ,主張と原資料を結ぶ根拠表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-B1,B1,曖昧な依頼から確認質問と完了条件を作る,目的・成果・制約・受入条件の1枚表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-B2,B2,短い提案文の論理の飛躍を特定する,事実・仮定・結論の整理表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-B3,B3,申請処理遅延の記録から原因候補を整理する,仮説・予測・確認結果の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-B4,B4,制約のある3案から方針と再判断条件を選ぶ,比較表と決定理由メモ,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-C1,C1,5件の依頼を期限と依存関係で並べる,作業・順序・確認点・担当の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-C2,C2,途中で条件が変わる課題の相談文を作る,事実・影響・試行・相談事項の報告,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-C3,C3,誤りを含む集計・案内文を検査する,検証観点・証拠・未確認事項の記録,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-C4,C4,作業記録から引継ぎを作る,完了条件・正本・残課題の引継ぎ表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-D1,D1,資料の主張を事実・推測・未確認へ分類する,分かる・推測・未確認と次の確認,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-D2,D2,割込みを含む架空作業で再開点を記録する,中断・再開・確認のメモ,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-D3,D3,期限が競合する仕事の調整案を作る,負荷・優先順位・依頼する支援の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-D4,D4,曖昧な作業の着手と相談境界を決める,着手・継続・切替条件のメモ,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-E1,E1,未知の短い規程を学び説明する,学習目標・練習・説明・確認の記録,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-E2,E2,固定フィードバック後に別課題へ適用する,誤りの規則・類似箇所・次回対策,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-E3,E3,規程改訂の差分から手順を直す,変更点・影響・廃止事項の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-E4,E4,小改善の前後を条件付きで比較する,仮説・試行・結果・次の実験,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
