能力ID,大領域,能力名,定義,重要度,AI増分,開発期,前提能力ID,状態,版
A1,理解・表現・基礎リテラシー,読解・説明理解,文書・説明・図表から事実、条件、例外、不明点を読み取る,P1,大,第1期,なし,設計案,0.1-draft
A2,理解・表現・基礎リテラシー,正確な記述・説明,対象、結論、根拠を明確にし相手の判断につながる表現をする,P1,中,第2期,A1,設計案,0.1-draft
A3,理解・表現・基礎リテラシー,数量・データ理解,単位、期間、割合、概算、集計条件、不整合を理解する,P1,中,第1期,A1,設計案,0.1-draft
A4,理解・表現・基礎リテラシー,情報探索・情報源評価,必要情報を探し出典、更新時点、適用範囲を判断する,P1,大,第1期,A1,設計案,0.1-draft
B1,思考・判断・問題解決,目的・課題・要件の定義,目的、解くべき問題、制約、完了条件を明確にする,P1,大,第1期,A1,設計案,0.1-draft
B2,思考・判断・問題解決,構造化・論理的推論,要素と関係に分解し前提、因果、矛盾を扱う,P2,大,第2期,A1;B1,設計案,0.1-draft
B3,思考・判断・問題解決,仮説形成・原因分析,原因候補を立て観察・比較・反証で絞り込む,P2,大,第2期,B2;A4,設計案,0.1-draft
B4,思考・判断・問題解決,比較・意思決定,複数案と不確実性を比較し判断・見直し条件を決める,P2,大,第2期,B1;A3,設計案,0.1-draft
C1,業務遂行・品質管理,計画・段取り・優先順位,作業、順序、依存関係、期限、確認点を設計する,P1,中,第1期,B1,設計案,0.1-draft
C2,業務遂行・品質管理,進捗管理・相談,進捗と阻害要因を把握し適切な時点で報告・相談する,P1,中,第1期,C1;A2,設計案,0.1-draft
C3,業務遂行・品質管理,品質基準・結果検証,確認基準を定め原資料や実測で成果を検証・修正する,P1,大,第1期,A1;A3;A4,設計案,0.1-draft
C4,業務遂行・品質管理,記録・完了・引継ぎ,経緯、結果、未完了、残存リスクを記録し仕事を閉じる,P1,中,第2期,C3;A2,設計案,0.1-draft
D1,自己認識・自己調整,理解・限界の自己認識,理解、推測、未確認、判断不能を区別する,P1,大,第1期,A1,設計案,0.1-draft
D2,自己認識・自己調整,注意・感情・行動の調整,割込み、焦り、思い込みに対し業務行動を調整する,P2,中,第2期,C1,設計案,0.1-draft
D3,自己認識・自己調整,負荷把握・援助要請,処理可能量と支援の必要を把握し調整を求める,P1,維持,第2期,C1;C2,設計案,0.1-draft
D4,自己認識・自己調整,主体的着手・継続・切替,役割内で行動し無益な固執をやめ方法を切り替える,P2,維持,第2期,B1;H1,設計案,0.1-draft
E1,学習・適応・改善,学習設計・知識技能の獲得,不足を把握し必要な知識技能を選び理解して学ぶ,P2,大,第2期,D1;A4,設計案,0.1-draft
E2,学習・適応・改善,フィードバック反映・学習転移,指摘理由を理解し類似問題や別作業にも適用する,P1,大,第1期,A1;D1,設計案,0.1-draft
E3,学習・適応・改善,変化への適応・学び直し,前提の変化を認識し古い知識や方法を更新する,P2,大,第2期,A4;E2,設計案,0.1-draft
E4,学習・適応・改善,実験・振り返り・能力維持,小さく試し効果を測り改善し必要な技能を維持する,P2,大,第2期,E1;C3,設計案,0.1-draft
F1,対人理解・協働,相手の立場・意図の理解,相手の目的、制約、経験、懸念を確認する,P2,中,第2期,A1;A2,設計案,0.1-draft
F2,対人理解・協働,役割調整・共同遂行,分担、依存関係、約束を確認し共同作業する,P1,維持,第2期,C1;A2,設計案,0.1-draft
F3,対人理解・協働,対立調整・交渉・合意形成,意見・利害の差を整理し合意と未決を明示する,P2,中,第2期,F1;B4,設計案,0.1-draft
F4,対人理解・協働,建設的な働きかけ・知識共有,提案、異議、助言を伝え再利用可能な知識を残す,P2,中,第2期,A2;F1,設計案,0.1-draft
G1,価値創出・事業理解・全体最適,顧客・組織の価値理解,誰の何を改善する仕事かを理解する,P1,大,第2期,B1;F1,設計案,0.1-draft
G2,価値創出・事業理解・全体最適,費用・便益・資源の判断,時間、金額、品質、リスク、維持費を比較する,P2,中,第2期,A3;B4,設計案,0.1-draft
G3,価値創出・事業理解・全体最適,システム思考・影響範囲の把握,前後工程、他者、全体性能、遅延影響を考える,P2,大,第2期,B2;F2,設計案,0.1-draft
G4,価値創出・事業理解・全体最適,機会発見・創造・改善提案,未充足要求と非効率を見つけ改善案を具体化する,P2,中,第2期,G1;B4,設計案,0.1-draft
H1,リスク・規範・責任に関する判断,ルール・権限境界の判断,規程・契約・権限を理解し矛盾や不明点を確認する,P1,大,第1期,A1,設計案,0.1-draft
H2,リスク・規範・責任に関する判断,安全・情報・権利の保護,安全、機密、個人情報、知的財産、公平性を判断する,P1,大,第1期,H1;A1,設計案,0.1-draft
H3,リスク・規範・責任に関する判断,リスク予防・封じ込め・回復,影響と可逆性を考え予防、停止、訂正、復旧を選ぶ,P1,大,第2期,H1;C1,設計案,0.1-draft
H4,リスク・規範・責任に関する判断,根拠・責任・不確実性の説明,判断主体、確認範囲、未確認を説明する,P1,大,第2期,D1;C3;A2,設計案,0.1-draft
I1,道具・情報・外部資源の活用,道具の選択・基本操作,道具の機能・限界を理解し目的に合わせて使う,P1,中,第2期,B1,設計案,0.1-draft
I2,道具・情報・外部資源の活用,情報・文書・資産管理,正本、版、所在、権限、保存・廃棄を管理する,P1,大,第2期,H2;A1,設計案,0.1-draft
I3,道具・情報・外部資源の活用,必要資源の確保・活用,人、資料、設備、専門家などを特定して活用する,P2,中,第2期,D1;C2,設計案,0.1-draft
I4,道具・情報・外部資源の活用,委任・自動化・監督,委任範囲、受入条件、監視、介入・代替を決める,P2,大,第1期,B1;C3;H1;H2,設計案,0.1-draft
