ワークID,能力ID,ワーク名,初回分,前提能力,作るもの,練習の流れ,転移の確認,不達時の分岐,開発期,状態
W-A1,A1,要件を読み分ける,20,なし,目的・期限・対象・禁止・不明点の5欄メモ,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,試作見本
W-A2,A2,報告文を組み立てる,20,A1,読み手が行動できる報告文,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-A3,A3,数字を照合する,20,A1,単位・期間・概算・明細照合の記録,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-A4,A4,根拠をたどる,20,A1,主張と原資料を結ぶ根拠表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-B1,B1,仕事のゴールを定める,20,A1,目的・成果・制約・受入条件の1枚表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,試作見本
W-B2,B2,論理を分けて確かめる,20,A1;B1,事実・仮定・結論の整理表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-B3,B3,仮説を比較する,20,B2;A4,仮説・予測・確認結果の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-B4,B4,条件を付けて決める,20,B1;A3,比較表と決定理由メモ,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-C1,C1,段取りを作る,20,B1,作業・順序・確認点・担当の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-C2,C2,止まる前に相談する,20,C1;A2,事実・影響・試行・相談事項の報告,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-C3,C3,成果を独立検証する,20,A1;A3;A4,検証観点・証拠・未確認事項の記録,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-C4,C4,仕事を閉じて引き継ぐ,20,C3;A2,完了条件・正本・残課題の引継ぎ表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-D1,D1,分からなさを特定する,20,A1,分かる・推測・未確認と次の確認,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-D2,D2,中断から正確に戻る,20,C1,中断・再開・確認のメモ,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-D3,D3,仕事量を調整する,20,C1;C2,負荷・優先順位・依頼する支援の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-D4,D4,最初の一手を決める,20,B1;H1,着手・継続・切替条件のメモ,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-E1,E1,学び方を設計する,20,D1;A4,学習目標・練習・説明・確認の記録,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-E2,E2,指摘を次の仕事に移す,20,A1;D1,誤りの規則・類似箇所・次回対策,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-E3,E3,古い前提を更新する,20,A4;E2,変更点・影響・廃止事項の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-E4,E4,試して振り返る,20,E1;C3,仮説・試行・結果・次の実験,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-F1,F1,相手の条件を確かめる,20,A1;A2,相手の目的・制約・確認質問,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-F2,F2,役割をつないで進める,20,C1;A2,分担表と受渡し条件,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-F3,F3,違いを整理して合意する,20,F1;B4,合意・未決・次の確認の記録,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-F4,F4,建設的に異議を伝える,20,A2;F1,観察事実・影響・代案・共有メモ,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-G1,G1,仕事の価値を確かめる,20,B1;F1,利用者・困り事・価値・成功条件,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-G2,G2,見えない費用を数える,20,A3;B4,総費用・便益・不確実性の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-G3,G3,後工程まで考える,20,B2;F2,前後工程・影響・確認先の図,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-G4,G4,改善の選択肢を作る,20,G1;B4,困り事・改善案・小実験の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-H1,H1,権限の境界を守る,20,A1,実施可・承認要・不可と根拠,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-H2,H2,情報を安全に扱う,20,H1;A1,情報区分・共有先・代替方法,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第1期,仕様案
W-H3,H3,失敗に備えて止める,20,H1;C1,予防・停止・報告・復旧の表,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
W-H4,H4,確認したことを説明する,20,D1;C3;A2,判断者・根拠・確認・残存リスク,自分で解く5分→観点・例を確認5分→修正5分→理由と次の行動5分,1週後に資料・数字を変更した別課題。2週後に別場面で確認,読解・知識不足→前提の短い補習／指摘理解不足→具体例／過負荷→業務調整,第2期,仕様案
