能力ID,観察行動,未達例,0：未到達,1：支援下,2：定型自律,3：非定型自律,AI適用行動,根拠・状態
A1,目的・期限・禁止事項を原文箇所付きで抽出する,旧版の記述と今回の依頼を混同する,重要な条件を落とし原文との差を示せない,チェック欄や指示があれば条件を拾える,定型依頼の条件・例外・不明点を根拠付きで抽出できる,矛盾する資料や変更にも優先関係を確認して対応できる,AI生成要約の条件欠落を検出する,S09 / 第1期基準案
A2,結論・事実・依頼・期限を分けて伝える,長文でも何を決めてほしいか不明,長文でも何を決めてほしいか不明,具体的な手順と確認があれば実行できる,定型業務で「結論・事実・依頼・期限を分けて伝える」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの文章を本人が説明できる形へ編集する,S09 / 骨子・未検証
A3,明細と合計を再計算し対象期間を確認する,税込・税抜・対象期間の混同,対象期間・単位・合計の不整合を見逃す,手順を指定されれば計算・照合できる,定型表の単位・期間・明細合計を独立して照合できる,集計条件の曖昧さや異常値を説明し確認方法を選べる,AIの計算を電卓・表計算で独立検証する,S09 / 第1期基準案
A4,原資料の版・適用条件と主張を照合する,検索上位やAIの断定だけで採用する,AIや検索結果の記載だけで確定する,指定された原資料へ戻って確認できる,出典・版・適用範囲を独立して照合できる,複数資料の食い違いを整理し未確認として保留できる,架空出典・古い資料・適用範囲外を見分ける,S09 / 第1期基準案
B1,成果物と目的を分け受入条件を確認する,資料を作ること自体を目的にする,作成する物だけを書き目的・受入条件がない,質問例を与えれば目的と条件を整理できる,定型依頼の目的・成果・制約・完了条件を自力で確認できる,利害や要求が曖昧でも論点を分け合意へ進められる,AIに任せる前に成功条件を定義する,S09 / 第1期基準案
B2,事実・仮定・結論のつながりを図示する,相関を原因と断定する,相関を原因と断定する,具体的な手順と確認があれば実行できる,定型業務で「事実・仮定・結論のつながりを図示する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI説明の整合性と隠れた前提を確認する,S09 / 骨子・未検証
B3,候補を複数挙げ識別に有効な確認を選ぶ,最初の仮説の確認だけを続ける,最初の仮説の確認だけを続ける,具体的な手順と確認があれば実行できる,定型業務で「候補を複数挙げ識別に有効な確認を選ぶ」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの仮説を検証対象として扱い操作を乱発しない,S09 / 骨子・未検証
B4,選択理由と撤回条件を併記する,利点だけで選び不確実性を無視する,利点だけで選び不確実性を無視する,具体的な手順と確認があれば実行できる,定型業務で「選択理由と撤回条件を併記する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの推奨を費用・リスク・目的で再評価する,S09 / 骨子・未検証
C1,承認待ちと検証時間を計画に含める,実行順だけで確認・引継ぎを計画しない,期限や承認待ちを落とした段取りになる,作業一覧を与えれば順序を作れる,定型業務の依存関係・確認点を含む段取りを作れる,条件変化や資源不足を受け優先順位を再設計できる,AI作業にも確認待ち・介入点を設ける,S09 / 第1期基準案
C2,遅延見込みを期限前に事実と選択肢付きで伝える,止まったまま期限まで報告しない,停止・遅延を認識しても期限まで伝えない,報告時点と様式を指示されれば相談できる,定型業務で遅延見込みを早期に事実・影響付きで相談できる,不確実な状況で複数案と必要判断を示して調整できる,AIの完了表示だけで進捗完了と見なさない,S09 / 第1期基準案
